date,source,story,issue_title,url,topics,snippet,pediatric_terms,ai_terms,radiology_terms
2026-08-25,RSNA News,AI Challenges Fuel Innovation Beyond the Leaderboard,AI Challenges Fuel Innovation Beyond the Leaderboard,https://www.rsna.org/news/2026/august/ai-challenges-fuel-innovation,bone age / skeletal maturity; fracture / trauma / abuse; chest / pneumonia; appendicitis / abdomen / ultrasound; funding / business,"…ues from Brazil partnered with a team of computer scientists and AI engineers from Universidade Federal de Goiás in Brazil.  Dr. Kitamura describes RSNA’s 2017 Pediatric Bone Age Challenge as an exhilarating experience that combined earnest research and learning with fun gamification features like medals, badges and a real-time…",bone age; pediatric,ai; algorithm,imaging; radiolog
2026-08-16,The Imaging Wire,"CT vs. MRI for Pediatric TBI, Helium Vulnerability, and Ditching the Disk","CT vs. MRI for Pediatric TBI, Helium Vulnerability, and Ditching the Disk",https://theimagingwire.com/newsletter/ct-vs-mri-for-pediatric-tbi-surveillance/,,"Radiology organizations are looking to replace legacy reporting solutions with new technology that will serve as their operational foundation for years to come. Join The Imaging Wire and Microsoft on Monday, August 24, at 12:00 PM ET for an exclusive customer-led webinar on radiology reporting featuring leaders from Un",pediatric,ai,ct; imaging; mri; radiolog; scanner
2026-07-12,The Imaging Wire,The Wire · AI’s Rise in Pediatric Imaging:,"AI Oversight Methods, Contaminated ORs, and Greener MRIs",https://theimagingwire.com/newsletter/sensible-approach-to-supervising-radiology-ai/,bone age / skeletal maturity,"AI’s Rise in Pediatric Imaging: Despite ample research on AI use in radiology, scant data has emerged on how the technology impacts pediatric imaging. New survey results in European…",bone age; pediatric,ai,imaging; radiolog
2026-06-28,The Imaging Wire,The Wire · BrightHeart’s Bright Future:,"Interventional Work Changes, Heat Wave Melts MRI, and Aidoc Breakthrough",https://theimagingwire.com/newsletter/interventional-work-changes-heat-wave-melts-mri-and-aidoc-breakthrough/,fetal / neonatal brain MRI; appendicitis / abdomen / ultrasound; regulatory / FDA clearance,"BrightHeart’s Bright Future: Having received the CE mark, BrightHeart is set to make the EU debut of their AI-driven fetal ultrasound solution at FMF 2026 conference this week. A 2025 Obstetrics & Gynecology study showed the software’s capability to identify severe defects with 99%…",fetal,ai; ai-,ultrasound
2026-06-22,RSNA News,Researchers Use AI to Establish Body Charts for CT Imaging Across the Adult Lifespan,Researchers Use AI to Establish Body Charts for CT Imaging Across the Adult Lifespan,https://www.rsna.org/news/2026/june/ai-body-charts-for-ct-imaging,chest / pneumonia; funding / business,"…adulthood,” he said.   Turning Routine CT Data Into Reference Charts  Reference charts have long been used to compare individual patients to population norms. Pediatric growth charts and MRI-based brain charts offer those such benchmarks, yet no equivalent existed for other anatomic structures across adulthood.   PACS hold vas…",pediatric,ai; algorithm; artificial intelligence,ct; imaging; mri; pacs; radiolog; scanner
2026-05-10,The Imaging Wire,"Pediatric MRI Safety, RTs and Remote Radiology, and PSMA-PET","Pediatric MRI Safety, RTs and Remote Radiology, and PSMA-PET",https://theimagingwire.com/newsletter/pediatric-mri-safety/,cardiac / echo,Welcome to issue #800 of The Imaging Wire !   This week’s milestone is a good time to look back on the progress our little newsletter has made since its founding by CEO Jake Fishman in a San Diego coffee shop eight years ago.   The Imaging Wire and parent company Insight Links have grown from those humble origins into ,pediatric,ai,imaging; mri; pet; radiolog; scanner
2026-03-29,The Imaging Wire,The Wire · Ultrasound AI Gets Breakthrough Nod:,"Mammography Use Falls, ACC Imaging News, and Ultrasound Breakthrough",https://theimagingwire.com/newsletter/mammography-use-falls/,fetal / neonatal brain MRI; appendicitis / abdomen / ultrasound; regulatory / FDA clearance; funding / business,"…ed by DeepEcho. The company’s Blind Sweep Platform guides users through acquisition of B-mode ultrasound scans, automating the acquisition of measurements like fetal presentation, placental location, and gestational age. DeepEcho will continue working with the FDA on regulatory authorization for the software, which would fo…",fetal; prenatal,ai; algorithm,ultrasound
2026-02-26,ESR / ECR,MRI Unveiling at the,Bracco and the European Society of Radiology Empower the Future of Radiology at ECR 2026,https://www.myesr.org/bracco-and-the-european-society-of-radiology-empower-the-future-of-radiology-at-ecr-2026/,fetal / neonatal brain MRI,"…ety of Neuroradiology and Director of the Neuroradiology Unit at the Giannina Gaslini Institute in Genoa, will share perspectives on the use of gadopiclenol in pediatric neuroradiology. Bronwyn E. Hamilton, MD, Professor of Radiology at Oregon Health & Science University, will present real-world experience with AiMIFY™ in brain…",pediatric,ai,imaging; mri; radiolog
2026-02-08,The Imaging Wire,The Wire · GE Bolsters Ultrasound with Fetal AI:,"CT Supports Better Stroke Care, CT Dose, and COVID’s Cancer Impact",https://theimagingwire.com/newsletter/better-stroke-care-with-ct/,fetal / neonatal brain MRI; appendicitis / abdomen / ultrasound,GE Bolsters Ultrasound with Fetal AI: GE HealthCare is adding new fetal AI capabilities to its Voluson women’s health ultrasound scanners through new algorithms available on its Voluson Solutio…,fetal,ai; algorithm,scanner; ultrasound
2026-02-01,The Imaging Wire,The Wire · DL-Based CT Reduces Radiation Dose:,"More Positive Mammo AI News, VA Cancels PACS, and Cancer Mortality",https://theimagingwire.com/newsletter/good-news-for-mammography-ai/,CT dose / reconstruction; cancer / oncology; appendicitis / abdomen / ultrasound,"DL-Based CT Reduces Radiation Dose: New revelations on cancer risk from medical radiation have focused attention on dose reduction, especially for kids. In a new paper in European Journal of Radiology , researchers performed abdominal CT scans on 82 kids using Canon Medical’s AiCE deep learning reconstruction…",kids,deep learning,ct; radiolog
2026-01-28,The Imaging Wire,The Wire · AHA Publishes New Stroke Guidelines:,"Lung Cancer in Non-Smokers, Telerad Tie-Up, and AI Safety Alliance",https://theimagingwire.com/newsletter/ct-lung-screening-for-non-smokers/,,"…ns of interest to the radiology community include a section on mobile stroke units (recommended), as well as the inclusion for the first time of guidelines for pediatric stroke (MRI is recommended for diagnosis). But the report declines to recommend the integration of AI into stroke care pathways, saying more research is needed…",pediatric,ai,mri; radiolog
2026-01-28,ESR / ECR,Guerbet: Innovation and French Cooperation in the Spotlight at ECR 2026,Guerbet: Innovation and French Cooperation in the Spotlight at ECR 2026,https://www.myesr.org/guerbet-innovation-and-french-cooperation-in-the-spotlight-at-ecr-2026/,chest / pneumonia; CT dose / reconstruction; regulatory / FDA clearance; scoliosis / MSK,"…piclenol), our macrocyclic gadolinium-based contrast agent. If approved by the European Commission, Elucirem™ (gadopiclenol) will be indicated in adults and in children from birth, for contrast-enhanced magnetic resonance imaging (MRI) to improve detection and visualization of pathologies with disruption of the blood-brain-…",child,ai,imaging; mri; radiolog
2026-01-07,The Imaging Wire,The Wire · BrightHeart Raises €11M:,"Top 2026 Radiology Trends, RT Students Dip, and Imaging Affordability",https://theimagingwire.com/newsletter/top-2026-radiology-trends/,cardiac / echo; appendicitis / abdomen / ultrasound; regulatory / FDA clearance; funding / business,"…ghtHeart Raises €11M: BrightHeart raised €11M ($12.9M) in a Series A round to further commercialize its AI technology for detecting congenital heart defects on prenatal ultrasound exams. The company has received five FDA clearances and is ramping up its penetration of the U.S. market, with several clinical sites using the soft…",prenatal,ai,ultrasound
2025-11-09,The Imaging Wire,The Wire · AI Detects Pediatric Elbow Fractures:,"Imaging at AHA 2025, AI Replacement Rebuttal, and Mobile Lung CT Screening",https://theimagingwire.com/newsletter/imaging-news-from-aha-2025/,fracture / trauma / abuse,AI Detects Pediatric Elbow Fractures: Gleamer’s BoneView AI solution helped emergency physicians in France detect pediatric elbow fractures in a new paper in EJR . Researchers used…,child; pediatric,ai,radiograph
