model_name,model_family,modality,body_region,patient_population,age_groups,clinical_problem,task,model_description,release_status,release_evidence,code_url,journal,year,citations,citations_per_year,rcr,fwci,nih_percentile,doi,url,title,first_author,study_design,dataset_size,data_source,validation,headline_result,pmid,record_id,source,is_preprint,confidence,overridden_fields,extractor_model,prompt_version,extracted_on
,machine learning classification models (PyCaret AutoML),x-ray / radiography,spine (whole-spine radiographs),"1,119 female adolescent idiopathic scoliosis patients treated at a single institution, July 2011-February 2023",adolescent,"predicting which female adolescents with idiopathic scoliosis will progress to a Cobb angle beyond 25°, using minimal radiographic and questionnaire data collected at the first visit",outcome prediction,"Machine learning binary classification models (built with PyCaret) trained on first-visit demographic and whole-spine radiographic data to predict progression to Cobb angle >25° for proximal thoracic, main thoracic, and thoracolumbar/lumbar curves",unclear,,,Spine,2026,8,4.0,3.76,,88.2,10.1097/BRS.0000000000004986,https://doi.org/10.1097/BRS.0000000000004986,Machine Learning Algorithms for Predicting Cobb Angle Beyond 25° in Female Adolescent Idiopathic Scoliosis Patients.,Ohyama S,retrospective single-center cohort study,"1,119 cases",single center,internal only,"AUC 0.94 (proximal thoracic), 0.89 (main thoracic), 0.84 (thoracolumbar/lumbar); recall 0.90/0.85/0.81 respectively",38475972,38475972,pubmed,False,high,,claude-code sonnet (worklist),1,2026-09-10
,support vector machine on multimodal structural and diffusion measures,MRI,brain,18 children with Duchenne muscular dystrophy and 18 age- and sex-matched controls with similar cognitive and behavioral profiles,child,"whether the absent dystrophin in Duchenne muscular dystrophy leaves a detectable mark on the brain, which would explain the cognitive and behavioral features",detection / diagnosis,"Combines cortical thickness, structure volumes and diffusion measures in one multivariate classifier, with controls deliberately matched on cognitive and behavioral profile so that the classification cannot simply be picking up comorbidity. The forward model then localizes the signal to long fiber bundles — cerebellar peduncles, posterior thalamic radiation, fornix, medial lemniscus — and to motor, cingulate, hippocampal and insular cortex. The sample is small and the accuracy correspondingly optimistic.",unclear,,,Journal of neuromuscular diseases,2026,7,7.0,5.4,,,10.3233/JND-230075,https://doi.org/10.3233/JND-230075,Brain Alteration Patterns in Children with Duchenne Muscular Dystrophy: A Machine Learning Approach to Magnetic Resonance Imaging.,Peruzzo D,retrospective case-control study,"36 subjects (18 patients, 18 matched controls)",single center,internal only,97.2% classification accuracy between patients and matched controls,38578898,38578898,pubmed,False,medium,,"claude-code (opus-5, manual)",1,2026-09-08
,"CNN (ResNet50, InceptionResNetV2, Xception, EfficientNetV2L, ConvNeXtXLarge)",x-ray / radiography,abdomen,"pediatric patients with abdominal radiographs: 540 normal, 298 surgically-corrected dilatation, 314 inflammatory/infectious dilatation, single center",pediatric (unspecified),"differentiating normal pediatric abdominal radiographs from gastrointestinal dilatation/obstruction, and surgical from non-surgical causes",detection / diagnosis,"Five transfer-learning CNN models classify pediatric abdominal radiographs as normal, surgically-corrected dilatation, or inflammatory/infectious dilatation, with and without an automated image-cropping preprocessing step.",unclear,,,"Diagnostic and interventional radiology (Ankara, Turkey)",2026,3,3.0,,,,10.4274/dir.2025.242950,https://doi.org/10.4274/dir.2025.242950,Diagnostic accuracy of convolutional neural network algorithms to distinguish gastrointestinal obstruction on conventional radiographs in a pediatric population.,Ayaz E,retrospective single-center model development,"1,152 radiographs (540 normal, 298 SD, 314 ID)",single center,internal only,Best accuracy 96.9% (ConvNeXtXLarge with cropping) for normal vs abnormal; 94.6% (EfficientNetV2L) for surgical vs inflammatory dilatation,40018794,40018794,pubmed,False,high,,claude-code sonnet (worklist),1,2026-09-10
,"convolutional neural network (EchoNet-Dynamic/EchoNet-Peds, transfer learning)",ultrasound,heart,children with Tetralogy of Fallot,infant; child,Can a deep learning model predict cardiac MRI-derived ejection fraction from echocardiogram videos in children with Tetralogy of Fallot?,measurement / quantification,"The EchoNet-Dynamic/EchoNet-Peds CNN model, fine-tuned via transfer learning, predicts left ventricular ejection fraction from echocardiogram videos using cardiac MRI-derived ejection fraction as ground truth in Tetralogy of Fallot patients.",unclear,,,Pediatric cardiology,2026,1,1.0,,,,10.1007/s00246-025-03802-y,https://doi.org/10.1007/s00246-025-03802-y,Predicting Cardiac Magnetic Resonance-Derived Ejection Fraction from Echocardiogram Via Deep Learning Approach in Tetralogy of Fallot.,Adhikari A,retrospective model fine-tuning and validation study,,not stated,internal only,"PSAX view: R2 0.79, MAE 4.41; A4C view: R2 0.53, MAE 6.4",40038120,40038120,pubmed,False,medium,,claude-code sonnet (worklist),1,2026-09-10
,propensity score-weighted machine learning,MRI,"brain (subcortical regions: amygdala, hippocampus, nucleus accumbens)","3,321 racial/ethnic minority youth from the ABCD study, split into training (n=2,674) and testing (n=647) sets",child; adolescent,assessing effects of perceived racial discrimination on longitudinal subcortical functional connectivity changes and internalizing/externalizing symptoms in adolescents,outcome prediction,"Resting-state fMRI functional connectivity of the nucleus accumbens, amygdala, and hippocampus is measured at baseline and two years later in adolescents from the ABCD study. Propensity score-weighted machine learning, trained and cross-validated on 80% of the sample and independently tested on the remaining 20%, assesses the effect of perceived discrimination on 2-year connectivity changes, followed by mediation analyses linking these brain changes to internalizing and externalizing symptoms.",unclear,,,Journal of the American Academy of Child and Adolescent Psychiatry,2026,6,6.0,4.92,,,10.1016/j.jaac.2025.04.005,https://doi.org/10.1016/j.jaac.2025.04.005,"Perceived Racism, Brain Development, and Internalizing and Externalizing Symptoms: Findings From the ABCD Study.",Chen S,prospective longitudinal multi-site cohort study,"3,321 youth (training n = 2,674; testing n = 647)",multi center,internal only,"Perceived discrimination was significantly associated with 2-year connectivity changes in nucleus accumbens, amygdala, and hippocampus in both cross-validation and independent testing",40222403,40222403,pubmed,False,medium,,claude-sonnet-5 (claude code),1,2026-09-10
,"CNN transfer learning (EfficientNet B0, VGG16, Inception V3)",ultrasound,fetal brain/spine (cranial signs),"59 fetuses with open neural tube defect and 116 normal controls, 14-28 weeks gestation",fetal,recognizing open fetal neural tube defect (open spina bifida) via the lemon sign on axial cranial ultrasound using deep learning,detection / diagnosis,Input: axial trans-thalamic fetal cranial ultrasound images; output: CNN transfer-learning classification of normal vs. open neural tube defect (lemon sign) fetuses.,unclear,,,American journal of perinatology,2026,0,0.0,,,,10.1055/a-2589-3554,https://doi.org/10.1055/a-2589-3554,Use of Artificial Intelligence in Recognition of Fetal Open Neural Tube Defect on Prenatal Ultrasound.,Kumar M,prospective case-control study,"175 cases (59 open NTD, 116 controls)",not stated,prospective,"EfficientNet B0 achieved 100%/95.83% training/validation accuracy, sensitivity 100%, specificity 89%",40239713,40239713,pubmed,False,high,,claude-code sonnet (worklist),1,2026-09-10
,"convolutional neural network (NASNetMobile, MobileNetV1, DenseNet121, EfficientNetV2B0, ResNet50; segmentation: UnestedUNet, DeepLabV3Plus)",ultrasound,hip,newborns undergoing hip ultrasonography,neonate,Can an AI-assisted portable ultrasound system diagnose developmental dysplasia of the hip in newborns?,measurement / quantification; detection / diagnosis,"An AI diagnostic system, integrated with a smartphone-linked handheld ultrasound device, segments hip anatomy and calculates Graf angles to diagnose DDH; several CNN backbones were compared for classification and segmentation.",unclear,,,Journal of imaging informatics in medicine,2026,1,1.0,,,,10.1007/s10278-025-01498-3,https://doi.org/10.1007/s10278-025-01498-3,Automated Neonatal Hip Ultrasound System for Diagnosing Developmental Dysplasia of Hips Using Assistive AI.,Lee YS,retrospective model development and comparison study,,not stated,internal only,NASNetMobile AUC 0.864 (95% CI 0.850-0.878); average Graf angle error rate 0.21 vs expert,40268837,40268837,pubmed,False,medium,,claude-code sonnet (worklist),1,2026-09-10
,"DeepLabv3+ (segmentation, multiple backbones)",ultrasound,hip,newborn hip ultrasound images,neonate,Can a deep learning framework automatically determine Graf angles from newborn hip ultrasound for DDH diagnosis?,measurement / quantification,A deep learning framework (DeepLabv3+ with multiple backbone architectures) segments hip anatomy on ultrasound and uses a local maxima method to automatically determine Graf angles for DDH diagnosis.,unclear,,,Journal of imaging informatics in medicine,2026,1,1.0,,,,10.1007/s10278-025-01518-2,https://doi.org/10.1007/s10278-025-01518-2,A Deep Learning-Based Framework for Automatic Determination of Developmental Dysplasia of the Hip from Graf Angles.,Taşolar S,retrospective method development and comparison study,,not stated,internal only,"MobileNetV2 backbone: 94.64% accuracy, 86.99 Cohen's kappa, 94.31 F-score vs expert radiologists",40325325,40325325,pubmed,False,medium,,claude-code sonnet (worklist),1,2026-09-10
,large language model (transformer-based),other,,,,"evaluating whether large language models can generate accurate, non-fabricated bibliographic references for radiology literature review/education questions, including in pediatric radiology",report generation / LLM,"Six general-purpose large language models (ChatGPT o1-preview, ChatGPT-4o, ChatGPT-4o with canvas, Google Gemini 1.5 Pro, Claude 3.5 Sonnet, Claude 3 Opus) were prompted with 120 open-ended radiology questions (15 per subspecialty, including pediatric radiology) to generate cited references, and each response's reference accuracy and fabrication rate were scored against verified bibliographic sources.",commercial,"named commercial products: ChatGPT (OpenAI), Google Gemini, Claude (Anthropic)",,"Diagnostic and interventional radiology (Ankara, Turkey)",2026,5,5.0,4.0,,,10.4274/dir.2025.253101,https://doi.org/10.4274/dir.2025.253101,Evaluating the reference accuracy of large language models in radiology: a comparative study across subspecialties.,Güneş YC,cross-sectional observational comparative study of LLM-generated radiology references,120 questions (15 per subspecialty) across 8 radiology subspecialties,not stated,none / not stated,"Claude 3.5 Sonnet: 80.8% fully accurate references, 3.1% fabrication rate, significantly outperforming other models (P<0.001)",40351113,40351113,pubmed,False,high,,claude-code sonnet (worklist),1,2026-09-10
,"3D U-Net (CNN, with residual blocks)",MRI,brainstem (diffuse midline glioma),"52 pediatric patients with diffuse midline glioma (H3 K27M-altered), 70 MRI studies",pediatric (unspecified),"Automatic segmentation of diffuse midline glioma (DMG) on multimodal brain MRI to support tumor assessment in this rare, poor-prognosis pediatric brainstem cancer.",segmentation,A modified 3D U-Net with residual blocks takes T1-weighted and T2-weighted/FLAIR MRI (individually or combined) as input and outputs a segmentation mask of the DMG tumor.,unclear,,,Journal of imaging informatics in medicine,2026,0,0.0,,,,10.1007/s10278-025-01557-9,https://doi.org/10.1007/s10278-025-01557-9,Deep Learning Auto-segmentation of Diffuse Midline Glioma on Multimodal Magnetic Resonance Images.,Fernández-Patón M,retrospective model development and internal test-set evaluation,"52 DMG patients, 70 MRI studies",not stated,internal only,Average Dice Similarity Coefficient of 0.883 on the test dataset (best with combined T1W + T2W/FLAIR),40425959,40425959,pubmed,False,high,,claude-code sonnet (worklist),1,2026-09-10
